id,flight_number,airline_name,aircraft_model,departure_datetime,arrival_datetime,status,total_capacity,confirmed_bookings,total_bookings,total_revenue,occupancy_rate
1,AI101,Air India,Boeing 737-800,2026-07-15 06:30:00,2026-07-15 08:45:00,Scheduled,119,6,8,101303040.0,130.25
2,AI202,Air India,Boeing 737 MAX 8,2026-07-15 09:15:00,2026-07-15 11:30:00,Scheduled,180,2,3,101346000.0,85.56
3,AI303,Air India,Boeing 787-9 Dreamliner,2026-07-15 10:00:00,2026-07-15 12:30:00,Scheduled,413,2,56,110000.0,44.55
4,AI404,Air India,Airbus A350-900,2026-07-15 13:15:00,2026-07-15 15:45:00,Boarding,270,0,0,0.0,0.0
5,AI505,Air India,Boeing 737-800,2026-07-15 14:30:00,2026-07-15 16:15:00,Scheduled,162,0,0,0.0,0.0
6,AI606,Air India,Boeing 737 MAX 8,2026-07-15 17:00:00,2026-07-15 18:45:00,Delayed,162,0,0,0.0,0.0
7,6E101,IndiGo,Airbus A320neo,2026-07-15 07:00:00,2026-07-15 09:15:00,Scheduled,162,4,5,84000.0,4.94
8,6E202,IndiGo,Airbus A321neo,2026-07-15 10:30:00,2026-07-15 13:00:00,Scheduled,195,0,0,0.0,0.0
9,6E303,IndiGo,Airbus A320neo,2026-07-15 11:45:00,2026-07-15 14:15:00,Scheduled,170,0,0,0.0,0.0
10,6E404,IndiGo,Boeing 737-800,2026-07-15 15:00:00,2026-07-15 17:20:00,Scheduled,180,0,1,20800.0,1.11
11,6E505,IndiGo,Airbus A320neo,2026-07-15 16:30:00,2026-07-15 18:00:00,Scheduled,170,0,0,0.0,0.0
12,6E606,IndiGo,Airbus A321neo,2026-07-15 19:00:00,2026-07-15 21:30:00,Scheduled,195,0,0,0.0,0.0
13,UK101,Vistara,Airbus A350-900,2026-07-15 08:15:00,2026-07-15 10:30:00,Scheduled,270,0,0,0.0,0.0
14,UK202,Vistara,Boeing 787-9 Dreamliner,2026-07-15 11:00:00,2026-07-15 13:30:00,Scheduled,292,0,0,0.0,0.0
15,UK303,Vistara,Airbus A350-900,2026-07-15 14:00:00,2026-07-15 16:15:00,Scheduled,270,0,0,0.0,0.0
16,UK404,Vistara,Boeing 787-9 Dreamliner,2026-07-15 17:30:00,2026-07-15 20:00:00,Scheduled,292,0,0,0.0,0.0
17,UK505,Vistara,Airbus A350-900,2026-07-16 06:45:00,2026-07-16 09:00:00,Scheduled,270,0,0,0.0,0.0
18,UK606,Vistara,Boeing 787-9 Dreamliner,2026-07-16 10:15:00,2026-07-16 12:45:00,Scheduled,292,0,0,0.0,0.0
19,SG101,SpiceJet,Airbus A320neo,2026-07-15 07:30:00,2026-07-15 09:00:00,Scheduled,163,4,4,45500.0,4.29
20,SG202,SpiceJet,Airbus A321neo,2026-07-15 10:00:00,2026-07-15 11:30:00,Scheduled,195,0,0,0.0,0.0
21,SG303,SpiceJet,Airbus A320neo,2026-07-15 12:45:00,2026-07-15 14:15:00,Scheduled,170,0,0,0.0,0.0
22,SG404,SpiceJet,Boeing 737-800,2026-07-15 15:30:00,2026-07-15 17:00:00,Scheduled,182,0,0,0.0,0.0
23,SG505,SpiceJet,Airbus A320neo,2026-07-15 18:00:00,2026-07-15 19:30:00,Scheduled,170,0,0,0.0,0.0
24,SG606,SpiceJet,Airbus A321neo,2026-07-16 07:00:00,2026-07-16 08:30:00,Scheduled,195,0,0,0.0,0.0
25,G8101,GoAir,Airbus A320neo,2026-07-15 08:00:00,2026-07-15 10:15:00,Scheduled,170,0,0,0.0,0.0
26,G8202,GoAir,Airbus A321neo,2026-07-15 11:30:00,2026-07-15 13:45:00,Scheduled,195,0,0,0.0,0.0
27,G8303,GoAir,Airbus A320neo,2026-07-15 14:30:00,2026-07-15 16:45:00,Scheduled,169,1,1,4800.0,0.59
28,G8404,GoAir,Boeing 737-800,2026-07-15 17:00:00,2026-07-15 18:30:00,Scheduled,182,0,0,0.0,0.0
29,G8505,GoAir,Airbus A320neo,2026-07-16 08:30:00,2026-07-16 10:00:00,Scheduled,170,0,0,0.0,0.0
30,I5101,AirAsia India,Airbus A320neo,2026-07-15 09:00:00,2026-07-15 10:30:00,Scheduled,169,1,1,3000.0,0.59
31,I5202,AirAsia India,Airbus A321neo,2026-07-15 11:00:00,2026-07-15 12:30:00,Scheduled,194,1,1,3200.0,0.52
32,I5303,AirAsia India,Airbus A320neo,2026-07-15 13:45:00,2026-07-15 15:15:00,Scheduled,170,0,0,0.0,0.0
33,I5404,AirAsia India,Boeing 737-800,2026-07-15 16:00:00,2026-07-15 18:30:00,Scheduled,182,0,0,0.0,0.0
34,I5505,AirAsia India,Airbus A320neo,2026-07-15 19:30:00,2026-07-15 21:45:00,Scheduled,170,0,0,0.0,0.0
35,AI707,Air India,Airbus A350-900,2026-07-16 07:00:00,2026-07-16 09:45:00,Scheduled,270,0,0,0.0,0.0
36,AI808,Air India,Boeing 787-9 Dreamliner,2026-07-16 10:30:00,2026-07-16 13:15:00,Scheduled,292,0,0,0.0,0.0
37,6E707,IndiGo,Airbus A320neo,2026-07-16 08:00:00,2026-07-16 10:30:00,Scheduled,170,0,0,0.0,0.0
38,6E808,IndiGo,Airbus A321neo,2026-07-16 11:45:00,2026-07-16 14:15:00,Scheduled,195,0,0,0.0,0.0
39,UK707,Vistara,Airbus A350-900,2026-07-16 09:15:00,2026-07-16 11:00:00,Scheduled,270,0,0,0.0,0.0
40,UK808,Vistara,Boeing 787-9 Dreamliner,2026-07-16 12:30:00,2026-07-16 14:15:00,Delayed,292,0,0,0.0,0.0
41,SG707,SpiceJet,Airbus A320neo,2026-07-16 07:30:00,2026-07-16 09:00:00,Scheduled,170,0,0,0.0,0.0
42,SG808,SpiceJet,Airbus A321neo,2026-07-16 10:15:00,2026-07-16 11:45:00,Cancelled,195,0,0,0.0,0.0
43,G8707,GoAir,Boeing 737-800,2026-07-16 08:00:00,2026-07-16 10:15:00,Scheduled,182,0,0,0.0,0.0
44,G8808,GoAir,Airbus A320neo,2026-07-16 11:30:00,2026-07-16 13:45:00,Scheduled,170,0,0,0.0,0.0
45,I5707,AirAsia India,Airbus A321neo,2026-07-16 09:00:00,2026-07-16 11:00:00,Scheduled,195,0,0,0.0,0.0
46,I5808,AirAsia India,Airbus A320neo,2026-07-16 12:15:00,2026-07-16 14:15:00,Scheduled,170,0,0,0.0,0.0
144,AI901,Air India,Airbus A350-900,2026-07-17 08:00:00,2026-07-17 10:45:00,Scheduled,270,0,0,0.0,0.0
145,AI902,Air India,Boeing 737-800,2026-07-17 11:30:00,2026-07-17 14:15:00,Cancelled,162,0,0,0.0,0.0
146,6E901,IndiGo,Airbus A320neo,2026-07-17 07:00:00,2026-07-17 08:45:00,Scheduled,170,0,0,0.0,0.0
147,6E902,IndiGo,Airbus A321neo,2026-07-17 09:30:00,2026-07-17 11:45:00,Scheduled,195,0,0,0.0,0.0
148,UK901,Vistara,Boeing 787-9 Dreamliner,2026-07-17 10:00:00,2026-07-17 12:30:00,Delayed,292,0,0,0.0,0.0
